session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
62144d86644562ce9f61050d,602454a47d0d7d121a1e444b,RETURNED,2022-02-22 02:42:14.929000,,13083.712549,34,713,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62144db79080e69a54ee0a7d,6157d4e8c339aeb409d2e6a9,APPROVED,2022-02-22 02:43:08.807000,2022-02-22 03:25:43.637000,2554.83,57,467,5,98,2022-02-22 05:56:17.259000,8D216DAB,United States,United States,Full-Time,English,English,United States,Female,No
62144e8b587b2cd34022d268,60220af9eeca542c5042d457,APPROVED,2022-02-22 02:46:39.639000,2022-02-22 03:02:51.945000,972.306,28,100,0,100,2022-02-22 05:14:18.304000,8D216DAB,United States,United States,Unemployed (and job seeking),English,English,United States,Male,No
62144eae71090caf28ed7640,5fb32c193dd553a5f10dd758,APPROVED,2022-02-22 02:47:51.578000,2022-02-22 03:30:51.135000,2579.557,28,343,0,100,2022-02-22 05:14:18.379000,8D216DAB,United States,United States,Full-Time,English,English,United States,Male,No
62144f5bac58c0e847c76b2a,60fe11079929d4e3d9f31249,APPROVED,2022-02-22 02:50:19.679000,2022-02-22 03:05:28.225000,908.546,24,116,0,100,2022-02-22 05:14:18.447000,8D216DAB,United States,United States,DATA EXPIRED,English,English,United States,Male,DATA EXPIRED
6214507b654b72bd52000f2c,5ce1c42ca80ce0001a4aeb82,APPROVED,2022-02-22 02:54:54.312000,2022-02-22 03:06:26.540000,692.228,55,1861,10,99,2022-02-22 05:14:18.509000,8D216DAB,United States,United States,Full-Time,English,English,United States,Male,No
621451de4b1d1c5579439221,611050d6ae5e1afdf66c727e,APPROVED,2022-02-22 03:00:48.793000,2022-02-22 03:33:00.331000,1931.538,28,629,0,100,2022-02-22 05:14:18.579000,8D216DAB,United States,United States,DATA EXPIRED,English,English,United States,Male,DATA EXPIRED
621452c6347578fcf2d7ba69,5f8b066742a6381ddae03d75,APPROVED,2022-02-22 03:04:40.176000,2022-02-22 03:39:51.728000,2111.552,35,720,2,100,2022-02-22 05:14:18.693000,8D216DAB,United States,United States,Part-Time,English,English,United States,Male,No
6214531c52656612d9a6b874,5debce5335575a2bed69acc6,APPROVED,2022-02-22 03:06:11.365000,2022-02-22 03:32:36.291000,1584.926,56,910,3,100,2022-02-22 05:14:18.847000,8D216DAB,United States,United States,DATA EXPIRED,English,English,United States,Male,DATA EXPIRED
6214531c87aeaafa113071b8,6128cbc7b7c4580f29436408,APPROVED,2022-02-22 03:06:19.968000,2022-02-22 03:32:21.235000,1561.267,18,74,1,99,2022-02-22 05:14:18.770000,8D216DAB.,United States,United States,Full-Time,English,"English, Spanish",United States,Male,Yes
621453544db0cdb1804fccb6,5751f576a9de4b0006e557b9,APPROVED,2022-02-22 03:07:05.203000,2022-02-22 03:26:27.610000,1162.407,42,1115,9,99,2022-02-22 05:14:18.916000,8D216DAB,United States,United States,Full-Time,English,English,United States,Male,No
